Date,Symbol,Open,High,Low,Close,Volume
2020/11/6,2594,193.268,202.804,183.467,194.227,80766685
2020/11/9,2594,195.41,197.521,187.781,194.747,52501612
2020/11/10,2594,190.576,190.596,180.397,186.211,63534950
2020/11/11,2594,180.418,185.507,167.588,167.618,80567515
2020/11/12,2594,171.341,176.746,169.077,172.697,58663961
2020/11/13,2594,183.579,185.64,176.736,179.398,60919392
2020/11/16,2594,174.431,174.91,166.751,173.401,54256539
2020/11/17,2594,176.95,178.664,167.73,170.321,56840934
2020/11/18,2594,169.179,172.544,165.477,170.321,41703316
2020/11/19,2594,171.341,172.055,162.692,164.834,47005440
2020/11/20,2594,167.924,180.765,166.466,179.561,70752694
2020/11/23,2594,180.418,188.699,175.492,187.863,60402664
2020/11/24,2594,195.584,198.868,184.304,187.853,64675209
2020/11/25,2594,186.639,195.512,184.191,187.18,47385764
2020/11/26,2594,187.261,188.475,174.635,179.316,49653819
2020/11/27,2594,178.796,181.438,172.697,177.562,39747615
2020/11/30,2594,174.91,180.255,169.311,175.573,37921283
2020/12/1,2594,172.055,180.52,170.321,180.326,40156431
2020/12/2,2594,174.502,175.93,171.341,173.126,49240138
2020/12/3,2594,173.126,177.113,170.28,174.492,36558081
2020/12/4,2594,175.012,182.356,173.789,175.278,39448988
2020/12/7,2594,174.706,180.173,172.473,178.776,32218589
2020/12/8,2594,181.642,185.619,180.214,181.509,44574324
2020/12/9,2594,182.56,184.63,176.44,176.685,31571447
2020/12/10,2594,171.341,175.074,169.321,172.891,37043628
2020/12/11,2594,172.718,172.718,166.037,170.321,35487818
2020/12/14,2594,170.117,174.278,166.241,173.585,30213225
2020/12/15,2594,173.636,178.531,171.851,178.174,36221802
2020/12/16,2594,179.5,180.214,174.299,175.288,23815385
2020/12/17,2594,174.584,176.369,172.371,175.206,18977260
2020/12/18,2594,175.93,183.671,174.625,179.5,48848510
2020/12/21,2594,180.01,197.45,178.99,197.45,66779763
2020/12/22,2594,196.818,196.818,187.312,187.659,58681041
2020/12/23,2594,187.547,194.594,186.598,190.505,42707945
2020/12/24,2594,188.679,188.679,183.579,186.639,26045354
2020/12/25,2594,186.966,189.852,184.701,188.903,21133069
2020/12/28,2594,187.965,194.156,186.231,191.667,30338431
2020/12/29,2594,189.699,189.699,182.009,182.152,36117782
2020/12/30,2594,184.253,195.767,184.253,189.699,51043108
2020/12/31,2594,192.616,199.724,187.924,198.164,50511942
2021/1/1,2594,198.164,198.164,198.164,198.164,0
2021/1/4,2594,192.758,215.359,190.81,210.872,58950161
2021/1/5,2594,210.097,225.629,206.027,224.273,54530597
2021/1/6,2594,224.089,226.598,216.216,220.601,43465214
2021/1/7,2594,220.907,232.86,218.46,229.515,42860254
2021/1/8,2594,237.633,238.98,225.089,232.034,42675836
2021/1/11,2594,239.255,249.872,235.573,239.53,53425466
2021/1/12,2594,236.41,244.518,224.375,241.703,43312458
2021/1/13,2594,242.733,254.849,234.258,244.059,48034787
2021/1/14,2594,236.614,240.132,226.761,228.403,44595502
2021/1/15,2594,226.415,233.472,220.805,229.678,37705046
2021/1/18,2594,224.375,228.454,220.561,226.099,26378933
2021/1/19,2594,226.476,229.678,217.807,220.499,27625013
2021/1/20,2594,224.273,230.8,222.345,226.415,38140108
2021/1/21,2594,224.375,244.365,221.121,240.204,58570987
2021/1/22,2594,240.408,248.505,236.114,247.751,42388678
2021/1/25,2594,251.402,268.179,249.872,265.17,55938894
2021/1/26,2594,262.111,267.812,255.981,259.275,39455544
2021/1/27,2594,255.175,264.599,239.163,262.111,52135100
2021/1/28,2594,250.861,257.521,247.812,249.219,32646175
2021/1/29,2594,253.952,255.41,242.223,251.912,33598269
